file_id,path,rom_offset,size,member_count,member_bytes,sections,member_kinds,sha1,sha256
238,skb.narc,3101184,60336,6,60236,BTAF;BTNF;GMIF,"{""NCGR"": 4, ""NCLR"": 1, ""NSCR"": 1}",9c190c4cb10dff825fd44ea33dbaa2064885a826,9edfd9ad14244866ecbc78fab5dd0b2d2c4eb38ce12c57c5e76a305200e31eea
239,soundstatus.narc,3161600,12164,4,12080,BTAF;BTNF;GMIF,"{""NCGR"": 1, ""NCLR"": 1, ""NSCR"": 2}",b6341c6f3a0039ce42fca10d357ea0724447a0e4,ac74994b434f6772232248715aae78de15d941b1959302889a51acefe985db22
240,titledemo.narc,3173888,227088,20,226876,BTAF;BTNF;GMIF,"{""BMD0"": 2, ""BTA0"": 2, ""NCGR"": 5, ""NCLR"": 7, ""NSCR"": 4}",858be1c0fcb6e7f73b6054b3be5da6cbf83a7e6f,03b01626cb7e063b0eb95a585110842c8e15d1dbe993883e30b534b57f7b5b86
242,a/0/0/0,54934528,2924,5,2832,BTAF;BTNF;GMIF,"{""NCGR"": 3, ""NCLR"": 2}",d6e38ac51a5a498b703543231a53b7ba494d4101,46e57359b6018539499bb3f132e3b38ccafda4e066d621d0adad6f04658214e7
243,a/0/0/1,54937600,54228,8,54112,BTAF;BTNF;GMIF,"{""NCGR"": 2, ""NCLR"": 2, ""NSCR"": 4}",ab0260cf1d84eabd3bff7fefb66f1e44d42d2cd5,7fc618356ad0214006b8ea369801ed1e6933f793afefdde7d7dc6c7794a97d62
244,a/0/0/2,54991872,3054740,288,3052384,BTAF;BTNF;GMIF,"{""unknown"": 288}",2c1eb5a7733ea6e6ae92a13fe5ed29b9bb83a4d3,45718b9eb366db135f527caab05f188adda787b6f5e11c983e126705d59e4400
245,a/0/0/3,58046976,1603248,472,1599420,BTAF;BTNF;GMIF,"{""unknown"": 472}",d1856c43b55f23d8612959fa82e98f8e86329ca4,d8975dec2aa179a4783f4d960e87c36ddc776c833434c487a4b18081f2a9e868
246,a/0/0/4,59650560,7889304,14285,7764679,BTAF;BTNF;GMIF,"{""LZ10"": 61, ""LZ11"": 4697, ""NCER"": 1426, ""NCLR"": 1457, ""unknown"": 6644}",e7b361a7208464d58462378912601b5c25967827,0ef9595f7924f533985515f159c35bdb8fd8015ef50bef2a2f0e08219ed3487e
247,a/0/0/5,67539968,39236,13,39080,BTAF;BTNF;GMIF,"{""NCGR"": 8, ""NCLR"": 5}",d2f7e55c9d436158c015464f33a30aa902fb9329,9d92c20aa9e82baeca7d5a3bd3523ab291d9a82e8d724ab820c533d51fe78e28
248,a/0/0/6,67579392,9042232,733,9036316,BTAF;BTNF;GMIF,"{""unknown"": 733}",8ac7323a88bf41ac582060ca278c419d9343c246,10cd758c77cbc275daf58e728e5e201907427f2491d2d3459c9988682d649e68
249,a/0/0/7,76621824,779916,1431,768402,BTAF;BTNF;GMIF,"{""NANR"": 3, ""NCER"": 3, ""NCGR"": 715, ""NCLR"": 1, ""unknown"": 709}",41a5727a111742fe775944b3c0cdb5a41109385a,e6ecfb6e846488e5894d457192de3ebc9c1fafdfad370b9cf9e9b0fecca3155b
250,a/0/0/8,77402112,18199420,649,18194176,BTAF;BTNF;GMIF,"{""unknown"": 649}",b9ec0c88bc4013a087689057cbbb3e6b3a6584c3,d22c10de09b4e229a5482ffd23c5336d1f0820d2765cf9f5b687daafbc658da3
251,a/0/0/9,95601664,18620,255,16528,BTAF;BTNF;GMIF,"{""unknown"": 255}",9774406fa864bc21d6e796e7bf01fb0b7a04b86d,700c81ed2dc5c545846066673453961645e357f097da7f279e3455c26f03608c
252,a/0/1/0,95620608,812,1,752,BTAF;BTNF;GMIF,"{""unknown"": 1}",036ba1548046e9584943c2abf880c86fb3eb9b31,914129267a38c03821b1b2a5b423fbd5be57e9029d56c272378dfc118decc12d
253,a/0/1/1,95621632,2823204,222,2821348,BTAF;BTNF;GMIF,"{""BCA0"": 26, ""BMD0"": 61, ""BTA0"": 1, ""NANR"": 13, ""NCER"": 13, ""NCGR"": 20, ""NCLR"": 29, ""NSCR"": 59}",b8b47055a0be6b9d7691b197c2e26a905a399152,a54f948d5e7445446ad4d3f51cce087c189922d5ad72d6d2fc9a631209b0a4c9
254,a/0/1/2,98445312,20556,1,20496,BTAF;BTNF;GMIF,"{""unknown"": 1}",1dca4aea9756af13d1b512e40fbeb566f7e51533,e7dc15c74ef5840e32171dd2b07a0285b6036bb2b6cfad6c0fa97b3cd27a7270
256,a/0/1/4,98469376,11946732,282,11944424,BTAF;BTNF;GMIF,"{""BTX0"": 282}",cc774bb080ec36704b85221a879abdceef29f03a,b35ba3313b769ff36d6d853bf32a3323784648bf63beae20087bb90fede239bb
257,a/0/1/5,110416384,172,5,80,BTAF;BTNF;GMIF,"{""unknown"": 5}",60748d706ec6b29e9ba897d11562017f98625744,e63e32dae0e7c8881d40bcc3b81828363e0f6595d53f438e4c676e6a8b7f70d1
258,a/0/1/6,110416896,46780,669,41376,BTAF;BTNF;GMIF,"{""unknown"": 669}",0cc77c1d0d649c1c3daa7ad4d1aeeab2c63ce94b,56a3f3b72ad113d2728c086219b6affbb5497e04b6667e1cdef4adadd3c3ce06
259,a/0/1/7,110464000,3348,8,3232,BTAF;BTNF;GMIF,"{""unknown"": 8}",fbbf1287b2ac10c5212be0e4a69461507e860005,ce5c612e32e537da3cdf7808c3f21ab217e83a75ead56027d98a7d84bb1b55d6
